##Databases: PANTHER, KEGG PATHWAY, BioCyc
##Statistical test method: hypergeometric test / Fisher's exact test
##FDR correction method: Benjamini and Hochberg

#Term	Database	ID	Input number	Background number	P-Value	Corrected P-Value	Input	Hyperlink
fatty acid activation	BioCyc	PWY-5143	3	19	0.19058342966	0.780361880907	844094|819337|841367	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5143
linoleate biosynthesis I (plants)	BioCyc	PWY-5995	3	19	0.19058342966	0.780361880907	844094|819337|841367	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5995
superpathway of phylloquinol biosynthesis	BioCyc	PWY-5863	3	19	0.19058342966	0.780361880907	843810|839932|838468	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5863
Zeatin biosynthesis	KEGG PATHWAY	ath00908	3	23	0.194605126578	0.78123905922	832248|829096|838846	http://www.genome.jp/kegg-bin/show_pathway?ath00908/ath:AT4G29740%09red/ath:AT5G21482%09red/ath:AT1G22400%09red
phosphatidylcholine acyl editing	BioCyc	PWY-6803	5	40	0.195957859662	0.78123905922	818869|844094|815261|819337|841367	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6803
ascorbate glutathione cycle	BioCyc	PWY-2261	2	10	0.198532698218	0.78123905922	831532|844085	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-2261
sucrose biosynthesis II	BioCyc	PWY-7238	4	30	0.204297421987	0.782039874723	822590|836609|836608|823850	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7238
ABC transporters	KEGG PATHWAY	ath02010	3	24	0.210052276382	0.782039874723	828702|825388|827530	http://www.genome.jp/kegg-bin/show_pathway?ath02010/ath:AT4G18050%09red/ath:AT3G62150%09red/ath:AT4G25960%09red
Lysine biosynthesis	PANTHER	P02751	1	8	0.214397397036	0.782039874723	831255	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02751
@@Lysine biosynthesis	KEGG PATHWAY	ath00300	1	16	0.64345447332	0.932855049838	831255	http://www.genome.jp/kegg-bin/show_pathway?ath00300/ath:AT5G14060%09red
Salvage pyrimidine ribonucleotides	PANTHER	P02775	1	8	0.214397397036	0.782039874723	824557	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02775
Asparagine and aspartate biosynthesis	PANTHER	P02730	1	8	0.214397397036	0.782039874723	836625	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02730
Glyoxylate and dicarboxylate metabolism	KEGG PATHWAY	ath00630	6	63	0.218922061445	0.782039874723	820665|833828|833535|833830|829911|843129	http://www.genome.jp/kegg-bin/show_pathway?ath00630/ath:AT3G14420%09red/ath:AT1G68010%09red/ath:AT5G38410%09red/ath:AT5G38430%09red/ath:AT4G37560%09red/ath:AT5G35630%09red
rutin biosynthesis	BioCyc	PWY-5390	2	11	0.224546102643	0.782039874723	821729|839933	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5390
glucosinolate biosynthesis from trihomomethionine	BioCyc	PWYQT-4472	2	11	0.224546102643	0.782039874723	830673|836250	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4472
oleate biosynthesis I (plants)	BioCyc	PWY-5147	2	11	0.224546102643	0.782039874723	831484|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5147
iron reduction and absorption	BioCyc	PWY-5934	2	11	0.224546102643	0.782039874723	835081|835037	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5934
Glutamine glutamate conversion	PANTHER	P02745	1	9	0.235318904438	0.783212139441	833535	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02745
Cysteine biosynthesis	PANTHER	P02737	1	9	0.235318904438	0.783212139441	832873	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02737
Cholesterol biosynthesis	PANTHER	P00014	1	9	0.235318904438	0.783212139441	829617	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P00014
Histidine biosynthesis	PANTHER	P02747	1	9	0.235318904438	0.783212139441	837509	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02747
Glutathione metabolism	KEGG PATHWAY	ath00480	8	93	0.242689586024	0.783212139441	844085|830118|826480|837575|824670|817046|844173|833559	http://www.genome.jp/kegg-bin/show_pathway?ath00480/ath:AT1G77490%09red/ath:AT4G39640%09red/ath:AT1G78370%09red/ath:AT4G09010%09red/ath:AT3G55040%09red/ath:AT2G25080%09red/ath:AT5G35790%09red/ath:AT1G10360%09red
Glycerolipid metabolism	KEGG PATHWAY	ath00561	5	52	0.242976703325	0.783212139441	821418|839297|818389|830735|820339	http://www.genome.jp/kegg-bin/show_pathway?ath00561/ath:AT2G38110%09red/ath:AT3G18850%09red/ath:AT3G11670%09red/ath:AT1G01610%09red/ath:AT5G08370%09red
Fructose and mannose metabolism	KEGG PATHWAY	ath00051	5	52	0.242976703325	0.783212139441	830052|828758|842961|824572|816672	http://www.genome.jp/kegg-bin/show_pathway?ath00051/ath:AT2G21330%09red/ath:AT1G66430%09red/ath:AT3G54050%09red/ath:AT4G38970%09red/ath:AT4G26520%09red
glutamine biosynthesis III	BioCyc	PWY-6549	3	22	0.246064289045	0.784815574532	818860|833535|827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6549
superpathway of adenosine nucleotides de novo biosynthesis I	BioCyc	PWY-7229	4	34	0.264941719082	0.829409905535	825797|833471|827575|834835	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7229
Pentose phosphate pathway	KEGG PATHWAY	ath00030	5	54	0.265520662828	0.829409905535	830052|828758|833559|824572|816672	http://www.genome.jp/kegg-bin/show_pathway?ath00030/ath:AT2G21330%09red/ath:AT3G54050%09red/ath:AT5G35790%09red/ath:AT4G38970%09red/ath:AT4G26520%09red
Carbon metabolism	KEGG PATHWAY	ath01200	18	243	0.275228842477	0.831317782455	837848|828758|833559|833828|824572|816672|818860|833830|821482|830052|835945|820461|840098|829911|832873|831500|840895|835168	http://www.genome.jp/kegg-bin/show_pathway?ath01200/ath:AT1G42970%09red/ath:AT3G54050%09red/ath:AT5G50950%09red/ath:AT3G12780%09red/ath:AT2G21330%09red/ath:AT5G28030%09red/ath:AT5G38410%09red/ath:AT5G38430%09red/ath:AT4G26520%09red/ath:AT2G42600%09red/ath:AT5G16390%09red/ath:AT1G12900%09red/ath:AT5G58330%09red/ath:AT1G32060%09red/ath:AT4G37560%09red/ath:AT3G19480%09red/ath:AT4G38970%09red/ath:AT5G35790%09red
Serine glycine biosynthesis	PANTHER	P02776	1	11	0.27558462194	0.831317782455	821482	http://www.pantherdb.org/pathway/pathwayDiagram.jsp?catAccession=P02776
glucosinolate biosynthesis from pentahomomethionine	BioCyc	PWYQT-4474	2	13	0.277105927485	0.831317782455	830673|836250	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4474
dhurrin biosynthesis	BioCyc	PWY-861	2	13	0.277105927485	0.831317782455	830154|822232	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-861
glucosinolate biosynthesis from dihomomethionine	BioCyc	PWYQT-4471	4	35	0.280617368601	0.833598653787	834364|830673|836250|834365	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4471
Nitrogen metabolism	KEGG PATHWAY	ath00910	4	42	0.284909927075	0.838133086444	829911|840630|833535|821134	http://www.genome.jp/kegg-bin/show_pathway?ath00910/ath:AT1G37130%09red/ath:AT4G37560%09red/ath:AT5G35630%09red/ath:AT3G01500%09red
superpathway of anaerobic sucrose degradation	BioCyc	PWY-7345	9	96	0.297941405206	0.866035164157	828758|820461|824572|825414|830052|816672|842961|840098|842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7345
fatty acid elongation -- saturated	BioCyc	FASYN-ELONG-PWY	2	14	0.303362716035	0.866035164157	816756|843835	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=FASYN-ELONG-PWY
Lipoic acid metabolism	KEGG PATHWAY	ath00785	1	5	0.304968930939	0.866035164157	829232	http://www.genome.jp/kegg-bin/show_pathway?ath00785/ath:AT4G31050%09red
CO2 fixation into oxaloacetate (anapleurotic)	BioCyc	PWYQT-4429	2	15	0.329442611951	0.866035164157	818860|821134	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4429
wax esters biosynthesis I	BioCyc	PWY-5884	3	27	0.342382134862	0.866035164157	831496|823580|831117	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5884
thiamin diphosphate biosynthesis IV (eukaryotes)	BioCyc	PWY-6908	4	39	0.34439108633	0.866035164157	823588|816141|838035|832066	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6908
phytochelatins biosynthesis	BioCyc	PWY-6745	1	5	0.348700627152	0.866035164157	830118	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6745
glycine betaine biosynthesis III (plants)	BioCyc	PWY1F-353	1	5	0.348700627152	0.866035164157	827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY1F-353
ammonia assimilation cycle III	BioCyc	AMMASSIM-PWY	1	5	0.348700627152	0.866035164157	833535	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=AMMASSIM-PWY
homoserine biosynthesis	BioCyc	HOMOSERSYN-PWY	1	5	0.348700627152	0.866035164157	831255	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=HOMOSERSYN-PWY
phytochromobilin biosynthesis	BioCyc	PWY-7170	1	5	0.348700627152	0.866035164157	827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7170
ornithine-citrulline shuttle	BioCyc	PWY-7060	1	5	0.348700627152	0.866035164157	833535	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7060
citrulline-nitric oxide cycle	BioCyc	PWY-4983	1	5	0.348700627152	0.866035164157	823899	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4983
salvianin biosynthesis	BioCyc	PWY-5268	1	5	0.348700627152	0.866035164157	822646	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5268
palmitoleate biosynthesis II	BioCyc	PWY-5366	1	5	0.348700627152	0.866035164157	843155	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5366
inosine-5'-phosphate biosynthesis II	BioCyc	PWY-6124	1	5	0.348700627152	0.866035164157	827575	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6124
kaempferol glycoside biosynthesis (Arabidopsis)	BioCyc	PWY-5320	1	5	0.348700627152	0.866035164157	839933	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5320
shisonin biosynthesis	BioCyc	PWY-5284	1	5	0.348700627152	0.866035164157	822646	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5284
trehalose biosynthesis I	BioCyc	TRESYN-PWY	1	5	0.348700627152	0.866035164157	835220	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=TRESYN-PWY
superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	BioCyc	THISYNARA-PWY	4	40	0.360449829004	0.877015147871	823588|816141|838035|832066	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=THISYNARA-PWY
fatty acid beta-oxidation II (peroxisome)	BioCyc	PWY-5136	3	28	0.361714420351	0.877015147871	844094|819337|841367	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5136
cytokinin-O-glucosides biosynthesis	BioCyc	PWY-2902	2	17	0.38068524883	0.877015147871	838844|816190	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-2902
photorespiration	BioCyc	PWY-181	2	17	0.38068524883	0.877015147871	843129|833828	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-181
palmitate biosynthesis II (bacteria and plants)	BioCyc	PWY-5971	2	17	0.38068524883	0.877015147871	816756|843835	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5971
benzoate biosynthesis I (CoA-dependent, beta-oxidative)	BioCyc	PWY-6443	2	17	0.38068524883	0.877015147871	838755|830302	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6443
sphingolipid biosynthesis (plants)	BioCyc	PWY-5129	2	17	0.38068524883	0.877015147871	818042|819228	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5129
stearate biosynthesis II (bacteria and plants)	BioCyc	PWY-5989	2	17	0.38068524883	0.877015147871	816756|843835	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5989
superpathway of citrulline metabolism	BioCyc	PWY-5004	3	29	0.380957750939	0.877015147871	836625|823899|818566	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5004
acyl-ACP thioesterase pathway	BioCyc	PWY-5142	1	6	0.393643762741	0.877015147871	843155	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5142
pelargonidin conjugates biosynthesis	BioCyc	PWY-5139	1	6	0.393643762741	0.877015147871	822646	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5139
ammonia assimilation cycle I	BioCyc	PWY-6963	1	6	0.393643762741	0.877015147871	833535	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6963
chlorophyll a degradation II	BioCyc	PWY-6927	1	6	0.393643762741	0.877015147871	829854	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6927
sulfate reduction II (assimilatory)	BioCyc	SULFMETII-PWY	1	6	0.393643762741	0.877015147871	827146	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=SULFMETII-PWY
Tropane, piperidine and pyridine alkaloid biosynthesis	KEGG PATHWAY	ath00960	3	36	0.404786397692	0.882376104322	817479|817485|817481	http://www.genome.jp/kegg-bin/show_pathway?ath00960/ath:AT2G29320%09red/ath:AT2G29300%09red/ath:AT2G29360%09red
Biosynthesis of unsaturated fatty acids	KEGG PATHWAY	ath01040	3	36	0.404786397692	0.882376104322	819553|820828|831484	http://www.genome.jp/kegg-bin/show_pathway?ath01040/ath:AT3G15850%09red/ath:AT3G03980%09red/ath:AT5G16240%09red
Circadian rhythm - plant	KEGG PATHWAY	ath04712	3	36	0.404786397692	0.882376104322	832518|830730|836364	http://www.genome.jp/kegg-bin/show_pathway?ath04712/ath:AT5G08330%09red/ath:AT5G62430%09red/ath:AT5G24470%09red
triacylglycerol degradation	BioCyc	LIPAS-PWY	8	96	0.427626053961	0.887410252599	831961|819584|828999|839843|816886|841089|840274|843921	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=LIPAS-PWY
glucosinolate biosynthesis from tryptophan	BioCyc	PWY-601	2	19	0.430197956857	0.887410252599	816765|830154	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-601
superpathway of rosmarinic acid biosynthesis	BioCyc	PWY-5071	1	7	0.435491623181	0.887410252599	830343	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5071
L-ascorbate degradation V	BioCyc	PWY-6959	1	7	0.435491623181	0.887410252599	844085	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6959
serine biosynthesis	BioCyc	SERSYN-PWY	1	7	0.435491623181	0.887410252599	821482	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=SERSYN-PWY
4-hydroxybenzoate biosynthesis I (eukaryotes)	BioCyc	PWY-5754	1	7	0.435491623181	0.887410252599	842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5754
esterified suberin biosynthesis	BioCyc	PWY-7120	1	7	0.435491623181	0.887410252599	824033	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-7120
superpathway of pantothenate and coenzymeA biosynthesis	BioCyc	PWY-4221ARA	1	7	0.435491623181	0.887410252599	819219	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4221ARA
Cutin, suberine and wax biosynthesis	KEGG PATHWAY	ath00073	2	23	0.437204900746	0.887410252599	820222|823580	http://www.genome.jp/kegg-bin/show_pathway?ath00073/ath:AT3G10570%09red/ath:AT3G44550%09red
superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	BioCyc	PWY-5464	7	84	0.439375234615	0.887410252599	828758|820461|825414|830052|816672|840098|835168	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5464
pyrimidine deoxyribonucleotides de novo biosynthesis III	BioCyc	PWY-6545	2	20	0.454159409577	0.887410252599	830457|2746218	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6545
Linoleic acid metabolism	KEGG PATHWAY	ath00591	1	9	0.454713860561	0.887410252599	815261	http://www.genome.jp/kegg-bin/show_pathway?ath00591/ath:AT2G06925%09red
Glycosphingolipid biosynthesis - globo series	KEGG PATHWAY	ath00603	1	9	0.454713860561	0.887410252599	830735	http://www.genome.jp/kegg-bin/show_pathway?ath00603/ath:AT5G08370%09red
Riboflavin metabolism	KEGG PATHWAY	ath00740	1	9	0.454713860561	0.887410252599	838035	http://www.genome.jp/kegg-bin/show_pathway?ath00740/ath:AT1G14700%09red
triacylglycerol biosynthesis	BioCyc	TRIGLSYN-PWY	3	33	0.456272033793	0.887410252599	821418|831496|831117	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=TRIGLSYN-PWY
Fatty acid degradation	KEGG PATHWAY	ath00071	3	40	0.467972177487	0.887410252599	844094|819337|841367	http://www.genome.jp/kegg-bin/show_pathway?ath00071/ath:AT1G49430%09red/ath:AT1G77590%09red/ath:AT2G47240%09red
benzoate biosynthesis II (CoA-independent, non-beta-oxidative)	BioCyc	PWY-6444	1	8	0.474456966736	0.887410252599	830302	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6444
L-N&delta;-acetylornithine biosynthesis	BioCyc	PWY-6922	1	8	0.474456966736	0.887410252599	818566	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6922
gamma-glutamyl cycle	BioCyc	PWY-4041	1	8	0.474456966736	0.887410252599	830118	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4041
D-myo-inositol-5-phosphate metabolism	BioCyc	PWY-6367	1	8	0.474456966736	0.887410252599	823882	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6367
glutathione redox reactions I	BioCyc	PWY-4081	1	8	0.474456966736	0.887410252599	817046	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4081
arginine biosynthesis IV	BioCyc	ARGININE-SYN4-PWY	1	8	0.474456966736	0.887410252599	818566	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=ARGININE-SYN4-PWY
benzoate biosynthesis III (CoA-dependent, non-beta-oxidative)	BioCyc	PWY-6446	1	8	0.474456966736	0.887410252599	830302	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6446
D-myo-inositol (1,4,5)-trisphosphate degradation	BioCyc	PWY-6363	2	21	0.477532933232	0.88768391883	817761|821206	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6363
Ascorbate and aldarate metabolism	KEGG PATHWAY	ath00053	3	41	0.48331035843	0.892945357343	826480|844085|821206	http://www.genome.jp/kegg-bin/show_pathway?ath00053/ath:AT4G09010%09red/ath:AT1G77490%09red/ath:AT3G02870%09red
Terpenoid backbone biosynthesis	KEGG PATHWAY	ath00900	4	58	0.499164113542	0.899730236502	842700|836181|814779|836400	http://www.genome.jp/kegg-bin/show_pathway?ath00900/ath:AT5G60600%09red/ath:AT5G62790%09red/ath:AT1G63970%09red/ath:AT2G02500%09red
2-Oxocarboxylic acid metabolism	KEGG PATHWAY	ath01210	5	74	0.499542591438	0.899730236502	832366|816765|832365|830154|831255	http://www.genome.jp/kegg-bin/show_pathway?ath01210/ath:AT4G39950%09red/ath:AT5G14060%09red/ath:AT5G23020%09red/ath:AT2G22330%09red/ath:AT5G23010%09red
flavonoid biosynthesis	BioCyc	PWY1F-FLAVSYN	2	22	0.500285602469	0.899730236502	824678|842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY1F-FLAVSYN
@@Flavonoid biosynthesis	KEGG PATHWAY	ath00941	1	21	0.736822652895	0.959656345312	824678	http://www.genome.jp/kegg-bin/show_pathway?ath00941/ath:AT3G55120%09red
glucosinolate biosynthesis from hexahomomethionine	BioCyc	PWYQT-4475	2	22	0.500285602469	0.899730236502	830673|836250	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4475
phosphate acquisition	BioCyc	PWY-6348	3	36	0.510141878938	0.899730236502	823588|838035|816141	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6348
biotin-carboxyl carrier protein assembly	BioCyc	PWY0-1264	1	9	0.510737956034	0.899730236502	831500	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY0-1264
fatty acid biosynthesis initiation I	BioCyc	PWY-4381	1	9	0.510737956034	0.899730236502	831500	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4381
superpathway of purine nucleotides de novo biosynthesis I	BioCyc	PWY-841	4	50	0.516574721019	0.904752257044	825797|833471|827575|834835	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-841
Rubisco shunt	BioCyc	PWY-5723	3	37	0.527469729617	0.918524873988	825414|840098|833828	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5723
citrulline biosynthesis	BioCyc	CITRULBIO-PWY	2	24	0.543832386703	0.930929821309	836625|818566	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=CITRULBIO-PWY
4-hydroxybenzoate biosynthesis V	BioCyc	PWY-6435	1	10	0.544519157394	0.930929821309	842814	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6435
brassinosteroids inactivation	BioCyc	PWY-6546	1	10	0.544519157394	0.930929821309	814902	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6546
cuticular wax biosynthesis	BioCyc	PWY-282	3	39	0.561076005839	0.930929821309	830103|831496|831117	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-282
Limonene and pinene degradation	KEGG PATHWAY	ath00903	4	63	0.561098494856	0.930929821309	830343|817626|829886|822232	http://www.genome.jp/kegg-bin/show_pathway?ath00903/ath:AT4G37310%09red/ath:AT5G04660%09red/ath:AT3G26290%09red/ath:AT2G30750%09red
camalexin biosynthesis	BioCyc	CAMALEXIN-SYN	2	25	0.564593898978	0.930929821309	816765|830154	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=CAMALEXIN-SYN
Stilbenoid, diarylheptanoid and gingerol biosynthesis	KEGG PATHWAY	ath00945	4	64	0.57298010257	0.930929821309	830343|817626|829886|822232	http://www.genome.jp/kegg-bin/show_pathway?ath00945/ath:AT4G37310%09red/ath:AT5G04660%09red/ath:AT3G26290%09red/ath:AT2G30750%09red
superpathway of glyoxylate cycle and fatty acid degradation	BioCyc	PWY-561	4	54	0.57408945627	0.930929821309	844094|819337|835168|841367	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-561
Pentose and glucuronate interconversions	KEGG PATHWAY	ath00040	5	81	0.575966439814	0.930929821309	828580|824485|819728|822361|836439	http://www.genome.jp/kegg-bin/show_pathway?ath00040/ath:AT4G24780%09red/ath:AT3G05620%09red/ath:AT3G53190%09red/ath:AT5G63180%09red/ath:AT3G27400%09red
superpathway of aspartate and asparagine biosynthesis	BioCyc	ASPASN-ARA-PWY	1	11	0.575972471865	0.930929821309	836625	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=ASPASN-ARA-PWY
Alanine, aspartate and glutamate metabolism	KEGG PATHWAY	ath00250	3	48	0.584053538576	0.930929821309	836625|827575|833535	http://www.genome.jp/kegg-bin/show_pathway?ath00250/ath:AT5G65010%09red/ath:AT4G18440%09red/ath:AT5G35630%09red
Fatty acid elongation	KEGG PATHWAY	ath00062	2	31	0.586118682961	0.930929821309	815998|819284	http://www.genome.jp/kegg-bin/show_pathway?ath00062/ath:AT2G46720%09red/ath:AT2G15090%09red
Glycerophospholipid metabolism	KEGG PATHWAY	ath00564	5	83	0.596649853788	0.930929821309	821418|815261|839297|818389|834060	http://www.genome.jp/kegg-bin/show_pathway?ath00564/ath:AT2G38110%09red/ath:AT5G40610%09red/ath:AT3G18850%09red/ath:AT2G06925%09red/ath:AT1G01610%09red
Taurine and hypotaurine metabolism	KEGG PATHWAY	ath00430	1	14	0.59742730751	0.930929821309	830118	http://www.genome.jp/kegg-bin/show_pathway?ath00430/ath:AT4G39640%09red
isoleucine biosynthesis I	BioCyc	PWY-3001	2	27	0.604050304919	0.930929821309	838755|831255	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3001
phenylalanine biosynthesis II	BioCyc	PWY-3462	1	12	0.605258002633	0.930929821309	837725	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-3462
cyanate degradation	BioCyc	CYANCAT-PWY	1	12	0.605258002633	0.930929821309	821134	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=CYANCAT-PWY
phosphatidylglycerol biosynthesis II (non-plastidic)	BioCyc	PWY4FS-8	1	12	0.605258002633	0.930929821309	821418	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY4FS-8
1,3,5-trimethoxybenzene biosynthesis	BioCyc	PWY-5765	1	12	0.605258002633	0.930929821309	838709	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5765
CDP-diacylglycerol biosynthesis I	BioCyc	PWY-5667	1	12	0.605258002633	0.930929821309	821418	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5667
1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)	BioCyc	PWY-4661	1	12	0.605258002633	0.930929821309	830881	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-4661
phosphatidylglycerol biosynthesis I (plastidic)	BioCyc	PWY4FS-7	1	12	0.605258002633	0.930929821309	821418	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY4FS-7
alpha-Linolenic acid metabolism	KEGG PATHWAY	ath00592	2	33	0.618490025927	0.932855049838	822167|815261	http://www.genome.jp/kegg-bin/show_pathway?ath00592/ath:AT2G06925%09red/ath:AT3G25760%09red
phospholipases	BioCyc	LIPASYN-PWY	3	43	0.623756290604	0.932855049838	818869|823882|815261	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=LIPASYN-PWY
pyrimidine salvage pathway	BioCyc	PWYQT-4445	1	13	0.632524863145	0.932855049838	824557	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWYQT-4445
indole-3-acetate degradation IV	BioCyc	PWY-2021	1	13	0.632524863145	0.932855049838	835539	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-2021
benzoate degradation II (aerobic and anaerobic)	BioCyc	PWY-283	1	13	0.632524863145	0.932855049838	838755	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-283
indole-3-acetyl-amide conjugate biosynthesis	BioCyc	PWY-6219	1	13	0.632524863145	0.932855049838	835539	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-6219
indole-3-acetate degradation V	BioCyc	PWY-5788	1	13	0.632524863145	0.932855049838	835539	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-5788
sucrose degradation III (sucrose invertase)	BioCyc	PWY-621	2	29	0.640742713883	0.932855049838	837777|842961	http://biocyc.org/ARA/NEW-IMAGE?type=NIL&object=PWY-621
